candidates, reject, passable, good, excellent
Pizza, 3, 2, 5, 13
Chips, 5, 8, 0, 10
That old cider bottle, 6, 2, 5, 10
"Polland, Aragon", 3, 1, 6, 13
"The ""Queen"" of Polls", 3, 2, 5, 13
"Sa majesté des mouches ventripotentes", 5, 3, 4, 11
"Le pseudonyme lorem ipsum dolor sit amet et consequitur in girum imus nocte et consumimur igni", 2, 3, 6, 12
"Le pseudonyme lorem ipsum dolo", 2, 3, 6, 12
Cider, 3, 2, 5, 13
Cider, 3, 2, 5, 13
Cider, 3, 2, 5, 13
Cider, 3, 2, 5, 13
Cider, 3, 2, 5, 13
Cider, 3, 2, 5, 13
Cider, 3, 2, 5, 13
Cider, 3, 2, 5, 13
Ch@ps, 5, 8, 1, 09
Chips, 5, 8, 0, 10
Æ€&0@À, 5, 8, 0, 10
Cider, 3, 2, 5, 13
Rosé!, 3, 2, 5, 13
Cider, 3, 2, 5, 13
Cider, 3, 2, 5, 13
Cider, 3, 2, 5, 13
Cider, 3, 2, 5, 13
Cider, 3, 2, 5, 13
Cider, 3, 2, 5, 13
